line	method	op_start	op_end	vtt_start	text
354	cover	19:33.21	19:36.55	03:21.58	よそ者は引っ込んでおれ
355	cover	19:37.77	19:42.73	03:25.91	これは わしの戦いじゃぞ\Nさながら わしの町はわしが守る
356	cover	19:45.47	19:47.31	03:33.75	手出し無用じゃ
357	-	-	-	03:35.76	ふんっ
358	cover	19:49.75	19:50.55	03:37.76	なっ…
359	-	-	-	03:39.80	あっ？
360	-	-	-	03:40.97	ああっ うう…
361	cover	19:55.47	19:57.48	03:43.72	なんてことすんのよ
362	cover	19:57.81	20:00.35	03:45.93	あんた なんで町長さんを？
363	cover	20:01.45	20:02.16	03:49.65	邪魔！
364	-	-	-	03:50.69	あっ…
365	cover	20:03.33	20:04.72	03:51.52	上策だな
366	cover	20:04.75	20:07.70	03:53.07	ほっといたら このおっさん\N間違いなく死ぬ気だ
367	cover	20:08.29	20:09.50	03:56.49	このほうがいい
368	cover	20:09.53	20:11.12	03:59.07	ムチャするな
369	cover	20:11.37	20:14.54	04:00.78	他にも方法は\Nいくらでもあるでしょうが
370	-	-	-	04:06.70	うん？
371	interp1	20:17.23	20:18.60	04:08.33	さっ いくぞ
372	interp1	20:20.73	20:22.40	04:11.83	でかっ鼻！
373	-	-	-	04:13.67	アアーッ
374	cover	20:25.57	20:27.93	04:16.67	それだけは言っちゃダメなのよ
375	interp1	20:28.28	20:34.20	04:19.22	おのれ 派手アホが\Nよくも この俺様に…
376	cover	20:34.33	20:36.41	04:25.26	派手に撃て バギー玉！
377	cover	20:37.53	20:39.32	04:28.64	何 言いだすのよ バカバカッ
378	cover	20:39.35	20:41.61	04:31.10	おい ルフィ 逃げろ
379	cover	20:41.75	20:42.54	04:32.69	そんなもんが…
380	cover	20:42.57	20:44.15	04:33.81	消し飛べ
381	cover	20:44.55	20:46.61	04:35.65	俺に… 効くか
382	cover	20:47.69	20:49.19	04:38.94	ゴムゴムの…
383	interp1	20:50.78	20:52.11	04:42.20	風船！
384	-	-	-	04:44.12	ええっ…
385	cover+snap	20:54.45	20:55.70	04:45.87	何だ？ あいつは…
386	cover	20:55.79	20:58.13	04:47.25	まさか バギー玉を…
387	-	-	-	04:50.50	ぶんっ
388	interp1	21:00.03	21:01.99	04:51.29	ウワーッ 来やがった
389	cover	21:02.41	21:04.35	04:53.67	先に言えよな
390	rescue	21:11.81	21:14.22	05:04.14	よしゃあ 敵が減った
391	cover	21:14.25	21:16.00	05:05.89	あんた 一体 何なのよ
392	cover	21:16.03	21:17.93	05:08.02	人騒がせな
393	cover	21:26.17	21:27.06	05:18.03	大体―
394	cover	21:27.09	21:30.12	05:18.86	ライオンと戦った時から\Nおかしいと思ったのよ
395	cover	21:30.15	21:33.45	05:21.86	人間業じゃないもの\Nちゃんと説明してよ
396	cover	21:33.59	21:36.83	05:25.49	今の風船みたいに\N膨れたの 何なの？
397	cover	21:36.93	21:38.81	05:28.91	ゴムゴムの風船だ
398	cover	21:38.87	21:40.88	05:30.91	それが何かって聞いてんのよ
399	cover	21:40.91	21:43.03	05:33.54	バケモンか あんたは
400	-	-	-	05:35.29	ハア…
401	cover	21:44.35	21:48.47	05:37.00	よくもまあ\N派手にやってくれたもんだ
402	cover	21:53.85	21:56.27	05:46.05	手下を盾にしたのね
403	cover	21:59.87	22:03.46	05:52.35	もう食べないよ… んっ うん？
404	cover+snap	22:04.37	22:06.91	05:56.73	うん？ 何だ このありさまは
405	-	-	-	05:59.65	うん？ うん？ うん？
406	cover	22:08.95	22:10.65	06:01.19	ああっ お前は
407	-	-	-	06:03.28	おっす
408	cover+snap	22:11.95	22:14.33	06:04.15	ゲーッ 麦わらの男！
409	cover	22:14.49	22:16.82	06:06.66	バババ… バギー船長\Nお気をつけを
410	cover	22:16.85	22:20.77	06:08.99	やつも悪魔の実の能力者なんです\Nゴム人間なんです
